IUCN,SPEC,COU,Value
TOT_KNOWN_IND,REPTILE,SWE,6
VULNERABLE,REPTILE,SWE,2
THREATENED,REPTILE,SWE,2
VULNERABLE_IND,REPTILE,SWE,2
TOT_KNOWN,REPTILE,CHE,19
TOT_KNOWN_IND,REPTILE,CHE,19
ENDANGERED,REPTILE,CHE,7
CRITICAL,REPTILE,CHE,3
VULNERABLE,REPTILE,CHE,5
THREATENED,REPTILE,CHE,15
ENDANGERED_IND,REPTILE,CHE,7
CRITICAL_IND,REPTILE,CHE,3
VULNERABLE_IND,REPTILE,CHE,5
TOT_KNOWN,REPTILE,GBR,15
TOT_KNOWN,REPTILE,USA,345
TOT_KNOWN_IND,REPTILE,USA,301
ENDANGERED,REPTILE,USA,20
CRITICAL,REPTILE,USA,8
VULNERABLE,REPTILE,USA,34
THREATENED,REPTILE,USA,62
ENDANGERED_IND,REPTILE,USA,20
CRITICAL_IND,REPTILE,USA,8
VULNERABLE_IND,REPTILE,USA,33
TOT_KNOWN,REPTILE,CHL,131
TOT_KNOWN_IND,REPTILE,CHL,122
ENDANGERED,REPTILE,CHL,17
VULNERABLE,REPTILE,CHL,25
THREATENED,REPTILE,CHL,52
ENDANGERED_IND,REPTILE,CHL,17
VULNERABLE_IND,REPTILE,CHL,25
TOT_KNOWN,REPTILE,EST,2
TOT_KNOWN_IND,REPTILE,EST,2
VULNERABLE,REPTILE,EST,1
THREATENED,REPTILE,EST,1
